"","QY","frxnyear","drugratio","reacratio","outcratio","rpsrratio","demo","drug","reac","outc","rpsr"
"1","Q4-1997",1997.75,2.91656921380601,3.08232817668482,0.874102041498212,1.26773363627251,29929,87290,92251,26161,37942
"2","Q1-1998",1998,2.83429585852003,3.41223792723759,1.1421990517067,1.27300510100897,44501,126129,151848,50829,56650
"3","Q2-1998",1998.25,3.12859717294588,3.60012952638396,1.19051641606127,1.37283888044152,35514,111109,127855,42280,48755
"4","Q3-1998",1998.5,3.23727478336002,3.52476430078016,1.16695890828696,1.35434931767935,39351,127390,138703,45921,53295
"5","Q4-1998",1998.75,3.20749636098981,3.78626880155264,1.20317806889859,1.41812227074236,41220,132213,156070,49595,58455
"6","Q1-1999",1999,2.75471552654572,2.81654417433314,0.629002415583081,1.27558205273166,77828,214394,219206,48954,99276
"7","Q2-1999",1999.25,3.34659839374495,3.59524922449326,1.00038244167764,1.38522500318701,47066,157511,169214,47084,65197
"8","Q3-1999",1999.5,3.38737145357742,3.27627452410473,0.920665888702502,1.37043249945299,54844,185777,179684,50493,75160
"9","Q4-1999",1999.75,3.34466671067978,3.47023613036685,1.05792126053564,1.46825554015096,45441,151985,157691,48073,66719
"10","Q1-2000",2000,3.36432485829198,3.75856716137075,1.17973986875838,1.48848695815791,42517,143041,159803,50159,63286
"11","Q2-2000",2000.25,3.4599769909242,4.06294260513869,1.18611785759939,1.516860539435,39115,135337,158922,46395,59332
"12","Q3-2000",2000.5,3.42204444080697,3.68275565740476,0.986680034374105,1.43745140565536,48874,167249,179991,48223,70254
"13","Q4-2000",2000.75,3.4598123706784,3.56491693284317,0.951264589485526,1.46425199381265,49779,172226,177458,47353,72889
"14","Q1-2001",2001,3.34352701325178,3.27242609582059,0.99641260879793,1.46000940955069,51012,170560,166933,50829,74478
"15","Q2-2001",2001.25,3.57175195500069,3.49714181186262,1.09697260712489,1.53779667992866,43734,156207,152944,47975,67254
"16","Q3-2001",2001.5,3.56674149150851,3.47255288755867,1.09604788789878,1.58313493413146,44103,157304,153150,48339,69821
"17","Q4-2001",2001.75,3.77199655368063,3.70855485741904,1.07069157543026,1.50488578813542,47587,179498,176479,50951,71613
"18","Q1-2002",2002,3.97035227493546,4.3054159842323,1.24650917469395,1.46298198373262,36023,143024,155094,44903,52701
"19","Q2-2002",2002.25,3.63095216317571,3.70483856215129,1.09785054422391,1.45367236806,54665,198486,202525,60014,79465
"20","Q3-2002",2002.5,3.9642933367482,3.81724079054083,1.12827079865113,1.42572672557306,46854,185743,178853,52864,66801
"21","Q4-2002",2002.75,3.72584178844149,3.77293514559803,1.11973283985281,1.46125539744326,47013,175163,177377,52642,68698
"22","Q1-2003",2003,3.65455239292449,3.9177965340756,1.18393642812247,1.38868187124001,44548,162803,174530,52742,61863
"23","Q2-2003",2003.25,3.42319279731118,3.81375058774359,0.978684499242464,1.38550754923985,57423,196570,218997,56199,79560
"24","Q3-2003",2003.5,3.60030196432463,3.94309373346201,0.990147246521184,1.31830775456838,64246,231305,253328,63613,84696
"25","Q4-2003",2003.75,3.68683722163309,3.86240721102863,1.02120890774125,1.32282277306469,60352,222508,233104,61632,79835
"26","Q1-2004",2004,3.57527851458886,4.01321712769989,0.874452444107616,1.18902614626753,65975,235879,264772,57692,78446
"27","Q2-2004",2004.25,3.8752781375577,4.22511706685265,1.03452226760984,1.31730928896417,60222,233377,254445,62301,79331
